,Supplier Name,Name,Supplier Mobile,Company Type,O Address,O City,O Street,O State,O Pincode,Kyc Verified,Gstin,manufacturing_process,manufacturing_sub_process,machine_name,id,Maximum Turning Diameter in mm,Maximum Turning Length in mm,Brand,Quantity (No. of Machines),Bed Size - X in mm,Bed Size - Y in mm,No of Axes,Bed Size - Z in mm,Quantity,Swing over bed in mm(Maximum Diameter),Distance between Centres in mm (Maximum Length),Minimum Drill Diameter in mm,Minimum Drill length in mm,Maximum Drill Diameter in mm,Maximum Drill length in mm,Tonnage,Working Length in mm,Type of Gas used,Minimum cutting thickness in mm,Maximum cutting thickness in mm,Strokes per minute (SPM),Coil Feedeer (Yes/No),Layer Thickness in mm,Accuracy,Minimum Tap size in mm,Maximum Tap length in mm,Maximum Tap size in mm,Minimum Tap length in mm,Minimum Opening in inch,Minimum injection pressure in PSI,Maximum Opening in inch,Maximum shot weight in grams,Machine Orientation,Maximum injection pressure in PSI,Maximum Stroke in inch,Capacity in Tonnage,Actuation Type,Clamping Force,Minimum shot weight in grams,Minimum Stroke in inch,Max MS Thickness (O2) in mm,Max SS Thickness (N2) in mm,Max Brass Thickness in mm,Dual Pallet Changer (Yes/No),Max Aluminium Thickness (N2) in mm,Max MS Thickness (N2) in mm,Max Copper Thickness in mm
0,3SAM INTERNATIONAL,3saminternational@gmail.com,916366734446,Manufacturer,"82/83, 8th Cross,Acharya B School Main Road, Andralli ",Bangalore,Acharya B School main Road,Karnataka,560091,0,29BOFPM1120R1ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jai gurudev Steel ,440c.1.4122.304@jaigurudevsteel.com,919892871385,,,,,,,0,,CNC Machining,CNC Machining,CNC Sliding Bed,20ed7e17-c190-441d-b506-6adeb979e0fc,50.0,100.0,Swiss,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aaditya Innovations Pvt. Ltd.,aadityainnovations@gmail.com,919870711125,Manufacturer,"RTC-43, Rabale, MIDC",Navi Mumbai,,Maharashtra,400701,0,27AAWCA7133P1ZT,CNC Machining,CNC Machining,CNC Turning Lathe,c2051081-9459-43e7-8bd5-177a54acd5d5,200.0,500.0,Ace Micromatic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aaditya Innovations Pvt. Ltd.,aadityainnovations@gmail.com,919870711125,Manufacturer,"RTC-43, Rabale, MIDC",Navi Mumbai,,Maharashtra,400701,0,27AAWCA7133P1ZT,CNC Machining,CNC Machining,Vertical Milling Centre,a0e0c533-8339-40cc-a119-67032b180634,,,Cosmos,1,1000.0,500.0,4,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AARYA TECH,aaryatech2016@gmail.com,+919742728390,Manufacturer,"A103, xs real harmony apt",CHENNAI,"PADUR, KELAMBAKAM",TAMIL NADU,603103,0,33AFOPV2611R1ZT,CNC Machining,CNC Machining,Vertical Milling Centre,f41c6877-1f44-429a-a6c2-8c2ac81d255c,,,BFW,2,1000.0,600.0,3,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AARYA TECH,aaryatech2016@gmail.com,+919742728390,Manufacturer,"A103, xs real harmony apt",CHENNAI,"PADUR, KELAMBAKAM",TAMIL NADU,603103,0,33AFOPV2611R1ZT,CNC Machining,CNC Machining,Vertical Milling Centre,73cde806-1b84-48e6-8a37-fc93106700c1,,,COSMOS IMPEX,1,600.0,400.0,3,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,afds,abc@def.com,917893022211,Manufacturer,awef,pune,,Maharashtra,590392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Accurate turnings,accurateturnings4707@gmail.com,917291948301,Manufacturer,Plotno. 44 dabua pali road Faridabad haryana,Faridabad ,Dabua pali road,Haryana,121001,0,06AAJFA6395H1Z7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dunder Mifflin,adithya@karkhana.io,918884680931,,"404, Not Found, Syntax Error Street, ",Palolem,Tito's Lane,Goa,101101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ADITY TOOLROOM,aditytools@gmail.com,919998985044,Manufacturer,Kothariya indu rstate,Rajkot ,,Gujratq,360005,0,24AIPPT5842E1ZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
